title,rating,price,promotion,review_num,Brand,Manufacturer,Description_comb,Primary Supplement Type_comb,Age Range_comb,Flavor_comb,Unit Count_comb,Benefit_comb,Ingredient_comb,Directions_updt,Diet Type_comb,Item_Form_updt,popularity_score,popular
"Source Naturals Vegan Omega-3s, Non-Fish EPA-DHA, for Heart and Brain Health Support* 300 mg - 30 Softfgels",4.3,18.03,,160.0,Source Naturals,,"An exceptional vegetarian alternative to fish oil.Suggested Use: 1вЂ? softgels 1 to 2 times daily.Allergies: Contains soy. Suitable for vegans and vegetarians. Contains no yeast, dairy, egg, gluten or wheat. Contains no sugar, salt, preservatives, or artificial color, flavor or fragrance.Over 40 Years of Trust. Source Naturals was created in 1982 by CEO Ira Goldberg to support everyoneвЂ™s potential to enjoy optimal health.Manufactured in the USA. Manufactured in Scotts Valley, CA, under the Good Manufacturing Practices (cGMPs) established by the US Food and Drug Administration (FDA).",Omega-3 Fatty Acids (from algal oil),,Unflavoured,30.00 Count,Brain Health Support,"Ingredients Omega-3 Fatty Acids, DHA, EPA.Other ingredients: modified corn starch, glycerin, carrageenan, high oleic sunflower oil, purified water, rosemary extract, mixed tocopherols, ascorbyl palmitate, and beta-carotene (color).;DHA/EPA (from algal oil)",,Vegan,['softgel'],0.5549764694330588,0
Sunwarrior Vegan Omega 3 DHA & EPA Supplement Algal Oil Preferred Alternative to Fish Oil Supports Brain Eye Joint & Heart Health (60 Count),4.0,38.97,,285.0,Sunwarrior,,"SunwarriorвЂ™s plant-based Omega-3 is sustainably grown and harvested without harming the oceans. And our Omega-3 doesnвЂ™t leave you with those unpleasant fishy burps after you take it. SunwarriorвЂ™s Omega-3 provides bioavailable Omega-3, 6, 7, and 9 fatty acids and also contains essential polar lipids and chlorophyll.Sustainably grown and harvested for bio-available Omega-3, 6, 7, and 9 fatty acids. It also contains essential polar lipids and chlorophyll. These ingredients are known to help reduce inflammation and promote healthy vision, joints, brain, and cardiovascular health.DHA is considered essential for proper brain development and growth as it improves the fluidity and flexibility of neurons while enhancing communication between the neurons. DHA has been shown to reduce brain degeneration, improve short and long-term memory, increase visual acuity, and improve the quality of life.Omegas may help reduce inflammation and the risk of cardiovascular failure. It also promotes healthy vision, joints, and brain health. Bring health to your heart and mind with two softgels taken with food. Great source of nutrients that would be beneficial to your body.Sunwarrior has your best health in mind with every ingredient we acquire, and every formula and flavor we create. Where most companies are looking for the bottom line, we refuse to cut corners because we know you deserve clean, quality products every time with no shortcuts.",,Adult,Unflavoured,60 Count,Brain Health Support,"Ingredients Vegan Softgel (Non-GMO cornstarch, Seaweed Extract, Vegetable-based Glycerin, Sorbitol (from Non-GMO Corn), Purified Water, Lemon Oil).;Vegan Softgel",,Plant Based,['softgel'],0.5086105291810314,0
"Nordic Naturals Nordic Omega-3 Fishies, Tutti Frutti - 36 Fishies - 300 mg Total Omega-3s with EPA & DHA - Healthy Brain, Mood, Vision & Immune System - Non-GMO - 36 Servings",4.1,19.87,,1028.0,Nordic Naturals,,"WHY OMEGA-3S - Omega-3 EPA & DHA support healthy brain, mood, vision, and immune system functions. This formula is made from 100% wild-caught anchovies and sardines.
ON-THE-GO CONVENIENCE - Not every toddler will eat fish, which can make it hard for them to get the omega-3 EPA & DHA they need. Nordic Omega-3 Fishies come in individually sealed, easy-to-open foil packsЎЄperfect for travel and on-the-go convenience.
BETTER ABSORPTION, BETTER TASTE - All Nordic Naturals fish oils are in the triglyceride form (the form naturally found in fish) for optimal absorption. Nordic Omega-3 Fishies have a great tutti frutti taste.
PURITY GUARANTEED - Everything we make is third-party tested, surpassing the strictest international standards for purity & freshness. This product is non-GMO, gluten & dairy free, and contains no artificial colors or flavors.
ETHICAL INNOVATION - Nordic Naturals has always been at the forefront of sustainable & ethical practices in the natural products industry. Through science & innovation, we are committed to delivering safe, effective nutrients for optimal wellness.",Omega 3,,Tutti Frutti,36.00 Count,Immune Support,"Docosahexaenoic acid, Eicosapentaenoic acid",,Gluten Free,['gummy'],0.5882670145675244,0
"OmegaVia EPA 500, Purified Omega 3 Fish Oil Burpless Softgels, 500 mg EPA in Triglyceride Form, Unflavored Wild Fish Oil Supplements, No Fishy Burps, Non GMO and Gluten Free, IFOS 5-Star, 120 ct",4.7,44.99,,720.0,OmegaVia,,"OmegaVia EPA 500 is 3rd party tested twice, at both the raw ingredients stage and the finished triglyceride form Omega 3 fish oil supplementsWith a highly concentrated, EPA fish oil formula, this 500 mg EPA supplement supports joint health, helps to promote healthy mood, and it works in conjunction with diet and exercise to manage triglyceride levelsNo fishy burps because the enteric coating makes the high EPA fish oil capsules burpless by preventing them from dissolving in your stomach, instead, the Omega 3 EPA oil is gradually dissolved in the intestines, where digestion and absorption occurPurified EPA Omega 3 supplement made from small, wild fish caught in the pristine waters of Peru and Chile and itвЂ™s purified with a patented heat free CO2 Chromatography process to remove impuritiesEvery Omega Via omega-3 fish oil batch is IFOS tested for purity, potency and freshness and has been checked to provide the right amount of omega-3 fatty acids listed on the label and IFOS testing ensures that the Omega fish oil EPA meets over 200 quality parameters and contaminant standards",Omega-3 EPA,,Unflavored - Burpless Enteric Coating,120.00 Count,"Pure EPA Omega-3. Ideal for Mood, Joint Care, Triglycerides. Small Easy-to-Swallow Pills.*",Ingredients EPA Omega-3 fish oil.;Eicosapentaenoic acid (EPA) Omega-3,,"Paleo, Keto, Gluten Free",['softgel'],0.7156089070250623,0
"Dr. Tobias Vegan Omega 3 Algae Oil and Omega 3 Fish Oil, 2 Options for Comprehensive Omega 3 Fatty Acid Support, Non-GMO",4.3,35.09,,0.0,,,"Dr. Tobias Omega 3 Fish Oil & Omega 3 Algae Oil: Combining Vegan Omega 3 Algae Oil with Triple Strength Fish Oil provides a potent mix of DHA and EPA, maximizing the benefits through different sources of high-concentration omega-3 fatty acids.High-Potency Vegan Omega 3: Dr. Tobias Vegan Omega 3 Algae Oil delivers a concentrated dose of plant-based DHA & EPA from sustainable marine algae. Each serving provides 420mg DHA and 210mg EPA to support circulatory wellness, cognitive function, eye health, and immune response. Non-GMO, Gluten-Free, Vegan. 60 Capsules, 30 ServingsOptimal Absorption Omega 3 Fish Oil: Dr. Tobias Omega 3 Fish Oil offers a triple-strength formula with 800mg EPA and 600mg DHA per serving, encapsulated in enteric-coated softgels for optimal absorption and no fishy aftertaste. Non-GMO, 60 Softgels, 30 ServingsProfessionally Formulated: All Dr. Tobias nutritional supplements are developed by vitamin experts in our innovative, GMP certified facility in the USA and formulated with carefully selected domestic & globally sourced ingredients. The highest standard guaranteed.A Better You Starts Here: We stand behind our products, source only the highest quality ingredients, and care about our customers. Whether you're looking for omega 3s, a joint support supplement, brain, heart, or immune boost, our trusted formulas are here to support your vitality & wellness goals.",,,,,,,,,,0.3333333333333333,0
"Coconut Oil, 32-Ounce",4.3,26.95,,80.0,Omega Nutrition,,"The package weight of the product is 2.2 ouncesThe package dimension of the product is 4.5""L x 3.5""W x 3.8""HCountry of origin is United States",,,,,,,,,['oil'],0.5250125271373409,0
"Nouri Digestive Health Probiotic and Omega Oil, Probiotics for Digestive Health, for Men and Women, Take Daily - 30 Day Supply",4.3,19.98,,112.0,Nouri,,"PROBIOTICS FOR GUT HEALTH - This product combines five probiotic strains and a plant-based omega oil delivering double the dose of good bacteria in one capsule.DIGESTIVE PROBIOTIC - Non-refrigerated probiotic designed to support digestive and gut health. An excellent choice for those looking to support a diverse, healthy gut microbiome.3-IN-1 SUPPLEMENT - In addition to digestive support, this product supports brain health, immunity and, mood in healthy adults. Includes Omega 3 oil.30 BILLION CFUs - A blend of 5 Lactobacillus and Bifidobacterium probiotic strains combined for a powerful probiotic for digestive health.NOURI ADVANTAGE - Nouri is leading the worldвЂ™s transition to proactive health by empowering individuals and families with microbiome health solutions for every stage of life. NouriвЂ™s focus is on delivering innovative, effective and science-backed products that support whole-body health. Through awareness and education, Nouri aims to inspire proactive wellness for optimal health and vitality.",Probiotic,,Citrus,30.00 Count,Advanced Digestion,"Ingredients Other Ingredients: Ahiflower (Buglossoides Arvensis) Seed Oil, Vegetable Cellulose (Capsule), Potato Maltodextrin, Silica, Rice Flour, Vegetable Magnesium Stearate.;Probiotic",,Vegan,['capsule'],0.539534805689932,0
Kirkland Signature Natural Fish Oil Concentrate with Omega-3 Fatty Acids - 400 Softgels (Pack of 2),4.8,41.0,,1506.0,Kirkland Signature,,Natural Fish Oil Concentrate contains Omega-3 fatty acids that help maintain heart and vascular healthNumber of items: 2.0Ingredients: fish oilPackage Dimensions: 10.16 L x 20.32 H x 20.066 W (centimeters),Fish Oil 1000mg,Adult,Unflavoured,800 Count,Health,Ingredients fish oil,,,['softgel'],0.7715755910579853,1
"Garden of Life Fiber Supplement, Raw Organic Fiber Powder, 30 Servings, 15 Organic Superfoods, Probiotics, Omega-3 ALA, 4g Soluble Fiber, 5g Insoluble Fiber for Regularity, Psyllium Husk Free Fiber",4.3,29.99,,5637.0,Garden of Life,,"FIBER SUPPLEMENT FOR ADULTS AND KIDS 4 AND UP: Raw Organic Fiber powder supports bowel regularity and elimination of toxins, providing 9g of fiber per serving (32 percentDV) along with 8 grams of protein, probiotics, and Omega 3 fatty acids for overall healthSUPERFOOD FIBER: Our Fiber powder is made with 15 Raw and Certified Organic superfoodsвЂ”sprouted seeds, grains and legumes like Flax, Quinoa and ChiaвЂ”without any filler ingredients and 0g of sugar; Can your fiber gummies, capsules or bars do thatCONSTIPATION RELIEF: This Paleo and Keto friendly Organic Fiber supports healthy gut flora balance, but we didn't stop there; It also supports regular bowel function and helps relieve occasional constipation, without any harsh fibers such as psylliumTOXIN ELIMINATION: Help support heart health, the healthy elimination of toxins and maintain healthy blood sugar and cholesterol levels already in the normal range; Third-Party Certified USDA Organic, Non GMO, Keto, Paleo Friendly, NSF Gluten Free and VeganDELICIOUS ORGANIC FIBER: Our dairy free fiber supplement is unflavored and easy to mixвЂ”even picky eaters will enjoy adding a boost of nourishing fiber to their water, smoothies, veggie or fruit juice, cereal or yogurtвЂ”or those Saturday morning pancakes",Fiber,,Unflavoured,28.32 Ounce,Digestive Health Support,"Ingredients Raw Organic Sprout and Fiber Blend: Organic Flax Seed (Meal and Sprout), Organic Amaranth Sprout, Organic Quinoa Sprout, Organic Chia (Seed and Sprout), Organic Millet Sprout, Organic Buckwheat Sprout, Organic Garbanzo Bean Sprout, Organic Lentil Sprout, Organic Adzuki Bean Sprout, Organic Sunflower Seed Sprout, Organic Pumpkin Seed Sprout, Organic Sesame Seed Sprout, Organic Coconut Flour; Bacillus coagulans. Other Ingredients: Organic stevia extract (leaf). Contains: Tree nuts (coconut) and sesame. Made without dairy or soy ingredients, added sugars, nor filler ingredients. Manufactured in a facility that also processes egg, milk, soy, wheat and fish. May contain traces of soy due to agricultural practices.;Omega 3",,Gluten Free,['powder'],0.7100785644760981,0
"Source Naturals Vegan True, Non-Fish Omega-3s, EPA-DHA Supports Heart and Brain Health*, 300 mg - 30 Vegan Softgels",4.3,15.57,,154.0,Source Naturals,,"NON FISH FORMULE OMEGA-3S. This all-vegan softgel is an ideal source of the omega-3 essential fatty acids EPA and DHA. Unlike less efficient forms of vegan omega-3s like flax seed oil, it is more active.SUGGESTED USE. 1 - 2 softgels 1 to 2 times daily.SUITABLE FOR VEGANS. Contains no yeast, dairy, egg, gluten or wheat. Contains no sugar, salt, preservatives, or artificial color, flavor or fragrance.Over 40 Years of Trust. Source Naturals was created in 1982 by CEO Ira Goldberg to support each individual's potential to enjoy optimal health.Manufactured in the USA. Manufactured in Scotts Valley, CA, under the Good Manufacturing Practices (cGMPs) established by the US Food and Drug Administration (FDA).",Omega-3s,,Unflavoured,30.00 Count,Brain Health Support,Ingredients Omega-3 Fatty Acids Providing DHA/EPA (from Schizochytrium sp. algal oil);Omega-3 Fatty Acids,,Vegan,['softgel'],0.5533198723501951,0
"Purity Labs CLA Supplements 4500MG - Non-GMO Safflower Oil - Supports Energy, Weight Loss, Heart Health, and Muscle Health - 180 Soft gels",4.4,23.97,3 Applicable Promotion(s),4146.0,Purity Labs,,"PHYSICAL PERFORMANCE - Purity LabвЂ™s high potency CLA from Safflower Oil is formulated to support performance and endurance. This supplement is popular with athletes and fitness experts for its sugar, carbs and hydration support вЂ“Often used in CLA supplements weight loss for women.NATURAL SUPPORT - Unlike L Carnatine, the body does not produce CLA and must obtain it through diet. With an industry-leading 4,500mg per serving, our supplement is formulated to help you build lean muscles and support a healthier lifestyle naturally.SOURCED FROM NATURE - Our non-stimulating formula of pure Safflower Oil delivers a highly concentrated supply of CLA. These easy to swallow softgel supplements provide maximum absorption.PURITY PLEDGE - Purity Labs only uses pure, non-GMO ingredients. Our supplements use certified organic ingredients that are without gluten, soy, sugar, preservatives, and artificial colors.FAMILY-OWNED - Purity Labs creates healthy supplements that do what they say and contain exactly what's on the label. Manufactured in the USA, all our high potency products use certified organic ingredients sourced from nature. Our integrity is reflected in our high number of repeat customers. We never sacrifice quality for the bottom line.",Conjugated Linoleic Acid,,Unflavoured,180 Count,"Weight management, energy and mood support",Ingredients Pure CLA from Safflower Oil;Pure CLA from Safflower Oil,"Directions As a dietary supplement, take two (2) capsules daily with meals or as recomended by a health care professional.",Gluten Free,['softgel'],0.7204909245556863,0
